Date,Time,Output_Volumn,RPM,Current,Temp.Motor,Date_Change_Grinding,Count_Grinding,Output/Current,chang_Grinding,chang_Grinding_I
17/02/2023 00:00,23:40:24,438.9693604,209.2982864,339.5095673,78,27/01/2023 08:02,1,1.292951371,0,0
18/02/2023 00:00,23:40:24,437.1520081,208.9701385,259.0537888,74.5,27/01/2023 08:02,2,1.687495134,0,0
19/02/2023 00:00,23:40:24,459.638092,209.0184084,292.6589414,71,27/01/2023 08:02,3,1.570558855,0,0
20/02/2023 00:00,23:40:24,386.0985107,207.7748464,217.5566869,69.3333333,27/01/2023 08:02,4,1.774703027,0,0
21/02/2023 00:00,23:40:24,503.9050293,208.1755053,303.6020673,65,27/01/2023 08:02,5,1.659754934,0,0
22/02/2023 00:00,23:40:24,390.9058533,208.597051,311.4964256,63,27/01/2023 08:02,6,1.254928857,0,0
23/02/2023 00:00,23:40:24,408.8199158,208.4633751,259.7161855,61.75,27/01/2023 08:02,7,1.574102573,0,0
24/02/2023 00:00,23:40:24,487.1796875,207.7244771,268.0706304,65.8333333,27/01/2023 08:02,8,1.817355698,0,0
25/02/2023 00:00,23:40:24,450.0961914,208.7304649,326.4337514,70,27/01/2023 08:02,9,1.378828597,0,0
26/02/2023 00:00,23:40:24,397.6807556,208.1763217,281.6721447,70,27/01/2023 08:02,10,1.411856881,0,0
27/02/2023 00:00,23:40:24,361.4358521,208.8122559,288.6623155,73,27/01/2023 08:02,11,1.252106121,1,0
28/02/2023 00:00,23:40:24,432.7920227,196.9112927,227.1524723,72.5,28/02/2023 17:17,1,1.905293032,0,0
01/03/2023 00:00,23:40:24,419.5564575,210.1883685,216.5535386,69,28/02/2023 17:17,2,1.937426007,0,0
02/03/2023 00:00,23:40:24,343.6370239,209.1388652,301.4084814,66.0833333,28/02/2023 17:17,3,1.140104029,0,0
03/03/2023 00:00,23:40:24,477.2210999,207.577287,316.9758148,65.5,28/02/2023 17:17,4,1.505544201,0,0
04/03/2023 00:00,23:40:24,448.3340149,209.3320033,280.315268,69,28/02/2023 17:17,5,1.599392063,0,0
05/03/2023 00:00,23:40:24,491.0374451,207.7344144,290.8346939,69,28/02/2023 17:17,6,1.688373002,0,0
06/03/2023 00:00,23:40:24,230.4122772,209.4578234,165.3981225,69,28/02/2023 17:17,7,1.393076739,0,0
07/03/2023 00:00,23:40:24,302.9545288,209.2493998,233.4096413,66,28/02/2023 17:17,8,1.297952077,0,0
08/03/2023 00:00,23:40:24,408.0541687,208.7538923,241.7053268,63,28/02/2023 17:17,9,1.688229937,0,0
09/03/2023 00:00,23:40:24,488.2962036,208.3785121,300.9870745,63,28/02/2023 17:17,11,1.622316189,0,0
10/03/2023 00:00,23:40:24,451.4396057,209.0638059,214.1098425,68,28/02/2023 17:17,12,2.108448638,0,0
11/03/2023 00:00,23:40:24,409.9146118,209.5053622,224.934127,73,28/02/2023 17:17,13,1.822376254,0,0
12/03/2023 00:00,23:40:24,236.352005,209.9891332,260.8490916,73,28/02/2023 17:17,14,0.906087131,0,1
13/03/2023 00:00,23:40:24,242.2867279,209.09537,342.1936887,77.5,28/02/2023 17:17,15,0.708039733,0,1
14/03/2023 00:00,23:40:24,444.6664734,208.551796,309.4928017,78.5,28/02/2023 17:17,16,1.436758693,0,0
15/03/2023 00:00,23:40:24,509.2060852,208.4929021,296.2792269,74,28/02/2023 17:17,17,1.718669549,0,0
16/03/2023 00:00,23:40:24,379.3291016,197.3186677,256.5170289,75,28/02/2023 17:17,18,1.478767719,0,0
17/03/2023 00:00,23:40:24,477.9284363,208.6767082,251.6934022,73,28/02/2023 17:17,19,1.898851667,0,0
18/03/2023 00:00,23:40:24,485.4911194,208.5149117,255.8625457,67,28/02/2023 17:17,20,1.897468495,0,0
19/03/2023 00:00,23:40:24,149.7279968,195.4239028,128.8921263,71,28/02/2023 17:17,21,1.161653556,0,0
20/03/2023 00:00,23:40:24,389.8962097,210.2377141,200.9180336,78,28/02/2023 17:17,22,1.94057349,0,0
21/03/2023 00:00,23:40:24,515.4307251,208.7341067,293.3599826,76,28/02/2023 17:17,23,1.756990577,0,0
22/03/2023 00:00,23:40:24,500.3672791,209.2861595,264.2625016,73,28/02/2023 17:17,24,1.893447902,0,0
23/03/2023 00:00,23:40:24,478.6948547,208.2997132,287.1608742,73,28/02/2023 17:17,25,1.666991912,0,0
24/03/2023 00:00,23:40:24,581.8403931,208.9057897,264.1617351,73,28/02/2023 17:17,26,2.202591503,0,0
25/03/2023 00:00,23:40:24,451.1390076,209.3184547,262.0948447,74.5,28/02/2023 17:17,27,1.721281501,0,0
26/03/2023 00:00,23:40:24,475.834259,209.0745634,274.5045417,76,28/02/2023 17:17,28,1.733429458,0,0
27/03/2023 00:00,23:40:24,506.3456421,208.8615824,220.6919939,69,28/02/2023 17:17,29,2.294354377,0,0
28/03/2023 00:00,23:40:24,461.235199,208.921037,266.9379891,65,28/02/2023 17:17,30,1.727873955,0,0
29/03/2023 00:00,23:40:24,424.1687927,208.7090785,215.790679,68,28/02/2023 17:17,31,1.96564928,0,0
30/03/2023 00:00,23:40:24,483.6108704,209.4860827,304.842815,67.5,28/02/2023 17:17,32,1.586426993,0,0
31/03/2023 00:00,23:40:24,531.9978027,208.5948664,330.4792727,67,28/02/2023 17:17,33,1.609776608,0,0
01/04/2023 00:00,23:40:24,456.4482117,209.8517431,189.7991262,67,28/02/2023 17:17,34,2.404901544,1,0
02/04/2023 00:00,23:40:24,516.4235229,209.4355303,308.0237149,67,02/04/2023 00:59,1,1.67657066,0,0
03/04/2023 00:00,23:40:24,423.9114685,203.6324577,228.7580907,68,02/04/2023 00:59,2,1.853099347,0,0
04/04/2023 00:00,23:40:24,549.9846191,210.7201538,257.8146479,69.5,02/04/2023 00:59,3,2.133255901,0,0
05/04/2023 00:00,23:40:24,463.190033,208.5167465,294.3626943,67,02/04/2023 00:59,4,1.573535105,0,0
06/04/2023 00:00,23:40:24,205.8240051,210.4157664,159.9419793,65,02/04/2023 00:59,5,1.286866688,0,0
07/04/2023 00:00,23:40:24,477.348114,209.2598267,296.8119206,70.3333333,02/04/2023 00:59,6,1.608251155,0,0
08/04/2023 00:00,23:40:24,493.1524658,208.9915034,271.0612149,74.5,02/04/2023 00:59,7,1.819339834,0,0
09/04/2023 00:00,23:40:24,464.4211731,209.1273117,218.9547198,70,02/04/2023 00:59,8,2.121083179,0,0
10/04/2023 00:00,23:40:24,467.863678,209.7239176,230.6971234,70,02/04/2023 00:59,9,2.028042964,0,0
11/04/2023 00:00,23:40:24,424.0934448,210.1750539,199.2126427,68,02/04/2023 00:59,10,2.128848044,0,0
12/04/2023 00:00,23:40:24,463.2467346,209.2722003,245.4612834,65.5833333,02/04/2023 00:59,11,1.887249705,0,0
13/04/2023 00:00,23:40:24,177.0559998,210.7005577,87.77627691,65,02/04/2023 00:59,12,2.017128158,0,0
14/04/2023 00:00,23:40:24,211.4482117,102.9901831,35.38785231,65,02/04/2023 00:59,13,5.975163733,0,0
15/04/2023 00:00,23:40:24,272.9512024,199.3156268,194.3841938,74.5,02/04/2023 00:59,14,1.404184142,0,0
16/04/2023 00:00,23:40:24,477.0564575,209.6656889,190.8454785,84,02/04/2023 00:59,15,2.499700078,0,0
17/04/2023 00:00,23:40:24,422.326416,208.843998,283.1688096,81.5,02/04/2023 00:59,16,1.491429853,0,0
18/04/2023 00:00,23:40:24,531.0484009,208.7207247,294.5785032,80.5,02/04/2023 00:59,17,1.80273983,0,0
19/04/2023 00:00,23:40:24,492.9098511,210.048729,209.1292701,78.5,02/04/2023 00:59,18,2.356962518,0,0
20/04/2023 00:00,23:40:24,560.9659424,208.6764603,256.6149384,79,02/04/2023 00:59,19,2.186022162,0,0
21/04/2023 00:00,23:40:24,425.4537659,209.8825798,302.9237197,84.6666667,02/04/2023 00:59,20,1.404491422,0,0
22/04/2023 00:00,23:40:24,562.1208496,208.5397135,301.7587344,82.5,02/04/2023 00:59,21,1.862815506,0,0
23/04/2023 00:00,23:40:24,496.2437744,209.3460604,264.1785942,78,02/04/2023 00:59,22,1.878440514,0,0
24/04/2023 00:00,23:40:24,483.8786926,208.7703476,328.2087771,78,02/04/2023 00:59,23,1.474301501,0,0
25/04/2023 00:00,23:40:24,395.1108398,209.709741,271.7445428,80,02/04/2023 00:59,24,1.453978931,0,0
26/04/2023 00:00,23:40:24,482.6508484,209.1062978,280.9936167,77.5,02/04/2023 00:59,25,1.717657697,0,0
27/04/2023 00:00,23:40:24,494.7741699,210.9592158,250.4713205,77,02/04/2023 00:59,26,1.975372545,0,0
28/04/2023 00:00,23:40:24,509.305603,208.4393412,331.709572,81.5,02/04/2023 00:59,27,1.53539616,0,0
29/04/2023 00:00,23:40:24,448.0056458,210.8695806,324.824477,78.5,02/04/2023 00:59,28,1.379223789,0,0
30/04/2023 00:00,23:40:24,405.1281738,209.974467,261.3012548,75,02/04/2023 00:59,29,1.550425673,0,0
01/05/2023 00:00,23:40:24,68.47918701,210.0276095,169.6414418,75,02/04/2023 00:59,30,0.403670154,0,1
02/05/2023 00:00,23:40:24,452.5829163,208.8304698,298.4523575,75,02/04/2023 00:59,31,1.516432707,0,0
03/05/2023 00:00,23:40:24,417.5935974,209.3543765,227.853981,75,02/04/2023 00:59,32,1.832724605,0,0
04/05/2023 00:00,23:40:24,494.2262573,209.7943306,166.012868,72.0833333,02/04/2023 00:59,33,2.977035836,0,0
05/05/2023 00:00,23:40:24,425.785675,208.5428391,284.4065717,67,02/04/2023 00:59,34,1.497102097,0,0
06/05/2023 00:00,23:40:24,460.8663635,208.2826716,297.7993304,66,02/04/2023 00:59,35,1.547573538,0,0
07/05/2023 00:00,23:40:24,410.9243469,192.888557,266.5626882,66,02/04/2023 00:59,36,1.541567388,1,0
08/05/2023 00:00,23:40:24,347.5273132,208.6704267,232.2580398,68,08/05/2023 05:59,1,1.496298313,0,0
09/05/2023 00:00,23:40:24,370.7894897,208.6704267,266.5626882,66,08/05/2023 05:59,2,1.391002965,0,0
10/05/2023 00:00,23:40:24,364.9284363,211.4482117,324.824477,60,08/05/2023 05:59,3,1.123463477,0,0
11/05/2023 00:00,23:40:24,417.4868469,211.4482117,261.3012548,57,08/05/2023 05:59,4,1.597722319,0,0
12/05/2023 00:00,23:40:24,369.3729553,211.4482117,194.3841938,57.5,08/05/2023 05:59,4,1.900221145,0,0
13/05/2023 00:00,23:40:24,375.6045837,211.4482117,233.4096413,63.5,08/05/2023 05:59,6,1.609207664,0,0
14/05/2023 00:00,23:40:24,105.5680008,211.4482117,276.9467406,68,08/05/2023 05:59,7,0.381185208,0,1
15/05/2023 00:00,23:40:24,301.6365356,211.4482117,276.8420153,68,08/05/2023 05:59,8,1.089561985,0,0
16/05/2023 00:00,23:40:24,379.2518616,211.4482117,310.4063428,66.5,08/05/2023 05:59,9,1.221791598,0,0
17/05/2023 00:00,23:40:24,323.7496338,209.8550873,185.314757,64.5833333,08/05/2023 05:59,10,1.74702565,0,0
18/05/2023 00:00,23:40:24,426.486969,209.249747,277.7723083,65,08/05/2023 05:59,11,1.53538332,0,0
19/05/2023 00:00,23:40:24,392.1560059,197.1600571,228.9852605,66,08/05/2023 05:59,12,1.712581871,0,0
20/05/2023 00:00,23:40:24,283.4533386,210.3426832,144.2232027,61.6666667,08/05/2023 05:59,13,1.965379587,0,0
21/05/2023 00:00,23:40:24,124.0960007,206.6056455,55.43521731,53,08/05/2023 05:59,14,2.238576968,0,0
22/05/2023 00:00,23:40:24,222.4320068,210.164842,196.9318169,54.5,08/05/2023 05:59,15,1.129487405,0,0
23/05/2023 00:00,23:40:24,406.2964172,210.164842,228.7017301,58,08/05/2023 05:59,16,1.776534078,0,0
24/05/2023 00:00,23:40:24,356.5139771,206.4011345,271.0418994,60,08/05/2023 05:59,17,1.315346365,0,0
25/05/2023 00:00,23:40:24,408.1098633,208.5237592,268.988711,61.5,08/05/2023 05:59,18,1.51720071,0,0
26/05/2023 00:00,23:40:24,414.506012,209.9972267,192.7911619,66.5,08/05/2023 05:59,19,2.150026007,0,0
27/05/2023 00:00,23:40:24,380.9054871,208.9493879,260.1498196,73,08/05/2023 05:59,20,1.464177402,0,0
28/05/2023 00:00,23:40:24,141.2480011,211.1638591,95.13939508,79,08/05/2023 05:59,21,1.484642623,0,0
29/05/2023 00:00,23:40:24,248.1099396,210.7975655,136.7319463,67.5,08/05/2023 05:59,22,1.814571842,0,0
30/05/2023 00:00,23:40:24,351.1889038,209.2284024,252.9675992,60.5833333,08/05/2023 05:59,23,1.388276226,0,0
31/05/2023 00:00,23:40:24,346.3387756,210.4505221,209.4557958,67,08/05/2023 05:59,24,1.65351727,0,0
01/06/2023 00:00,23:40:24,424.8041992,208.4279874,244.2941835,67,08/05/2023 05:59,25,1.738904272,0,0
02/06/2023 00:00,23:40:24,340.9920044,210.025116,234.616346,72,08/05/2023 05:59,26,1.453402588,0,0
03/06/2023 00:00,23:40:24,177.239212,210.4027532,97.05903053,77,08/05/2023 05:59,27,1.826097078,0,0
04/06/2023 00:00,23:40:24,396.8474731,210.3643125,244.6354671,77,08/05/2023 05:59,28,1.622199258,0,0
05/06/2023 00:00,23:40:24,400.9429016,211.3124148,204.3292642,73.5,08/05/2023 05:59,29,1.962239247,0,0
06/06/2023 00:00,23:40:24,352.5793152,208.7724698,201.4668906,72.3333333,08/05/2023 05:59,30,1.750060837,0,0
07/06/2023 00:00,23:40:24,373.0465698,209.1345635,205.5087627,71.5833333,08/05/2023 05:59,31,1.815234372,0,0
08/06/2023 00:00,23:40:24,396.8647766,195.0944462,205.4999828,64,08/06/2023 21:40,32,1.93121562,0,0
09/06/2023 00:00,23:40:24,347.7478027,209.4729195,246.6559981,64,08/06/2023 21:40,33,1.409849367,0,0
10/06/2023 00:00,23:40:24,351.3849487,206.1551132,261.7242266,65.5,08/06/2023 21:40,34,1.342577083,0,0
11/06/2023 00:00,23:40:24,278.1498718,208.7043966,241.4518033,67,08/06/2023 21:40,35,1.151989209,0,0
12/06/2023 00:00,23:40:24,398.7108765,209.2509689,260.2999281,67.5,08/06/2023 21:40,36,1.531736407,0,0
13/06/2023 00:00,23:40:24,364.8519897,208.6338348,214.2768605,72.5,08/06/2023 21:40,37,1.702712971,0,0
14/06/2023 00:00,23:40:24,389.7432251,210.2095413,217.8564141,75,08/06/2023 21:40,38,1.78899128,0,0
15/06/2023 00:00,23:40:24,402.5514221,209.2521566,292.7568488,70,08/06/2023 21:40,39,1.375036737,0,0
16/06/2023 00:00,23:40:24,359.7040405,210.2953733,220.534657,72.5,08/06/2023 21:40,40,1.631054481,0,0
17/06/2023 00:00,23:40:24,405.0023499,207.1740456,224.7983734,74,08/06/2023 21:40,41,1.801624913,0,0
18/06/2023 00:00,23:40:24,100.8301392,211.3442663,88.39150436,70,08/06/2023 21:40,42,1.140722063,0,0
19/06/2023 00:00,23:40:24,394.9440002,196.2148997,270.7522022,74,08/06/2023 21:40,43,1.458691737,0,0
20/06/2023 00:00,23:40:24,398.7279663,210.6531715,276.9467406,78,08/06/2023 21:40,44,1.439727962,0,0
21/06/2023 00:00,23:40:24,400.7868958,204.2231127,272.5020034,78,08/06/2023 21:40,45,1.470766786,0,0
22/06/2023 00:00,23:40:24,370.3283997,208.2903328,263.6459862,78,08/06/2023 21:40,46,1.404642661,0,0
23/06/2023 00:00,23:40:24,394.5092468,200.4998614,241.0904666,75,08/06/2023 21:40,47,1.636353575,0,0
24/06/2023 00:00,23:40:24,344.480011,210.3908297,226.4574945,69.9166667,08/06/2023 21:40,48,1.521168517,0,0
25/06/2023 00:00,23:40:24,121.0559998,201.6958154,103.1780872,67,08/06/2023 21:40,49,1.173272379,0,0
26/06/2023 00:00,23:40:24,266.3058472,208.6839638,221.1883491,72,08/06/2023 21:40,50,1.203977733,0,0
27/06/2023 00:00,23:40:24,395.5088196,209.0684776,278.112963,78,08/06/2023 21:40,51,1.422115731,0,0
28/06/2023 00:00,23:40:24,405.4712524,208.832709,266.4232608,77.6666667,08/06/2023 21:40,52,1.52190635,0,0
29/06/2023 00:00,23:40:24,350.934967,209.4699415,234.3725749,84,08/06/2023 21:40,53,1.497338019,0,0
30/06/2023 00:00,23:40:24,441.2329712,209.7146454,251.7157438,78,08/06/2023 21:40,54,1.752901763,0,0
01/07/2023 00:00,23:40:24,343.5188904,196.179725,257.7026917,74,08/06/2023 21:40,55,1.333004666,0,0
02/07/2023 00:00,23:40:24,333.1484985,209.4825821,268.8504057,74,08/06/2023 21:40,56,1.239159367,0,0
03/07/2023 00:00,23:40:24,384.2463379,209.8359782,266.7395134,74,08/06/2023 21:40,57,1.44053025,0,0
04/07/2023 00:00,23:40:24,404.2668457,200.6908678,290.1052301,74,08/06/2023 21:40,58,1.393517951,0,0
05/07/2023 00:00,23:40:24,382.2480774,209.8378232,241.5587387,74,08/06/2023 21:40,59,1.58242289,0,0
06/07/2023 00:00,23:40:24,401.3190002,208.3087896,278.4618695,72.75,08/06/2023 21:40,60,1.441199116,0,0
07/07/2023 00:00,23:40:24,358.9390869,208.3089447,269.4768524,71.4166667,08/06/2023 21:40,61,1.331984858,0,0
08/07/2023 00:00,23:40:24,385.5603027,209.5080147,258.1093907,71.5833333,08/06/2023 21:40,62,1.49378642,0,0
09/07/2023 00:00,23:40:24,396.0687561,208.4286855,303.4267163,71,08/06/2023 21:40,63,1.305319324,0,0
10/07/2023 00:00,23:40:24,347.9698486,208.6092339,276.8039649,71,08/06/2023 21:40,64,1.257098498,0,0
11/07/2023 00:00,23:40:24,344.3303528,206.6802177,310.4063428,71,08/06/2023 21:40,65,1.109289036,1,0
12/07/2023 00:00,23:40:24,397.9902039,208.1660741,284.0810583,75.5833333,12/07/2023 17:43,1,1.400974096,0,0
13/07/2023 00:00,23:40:24,367.1077576,208.8014692,279.8153305,80.3333333,12/07/2023 17:43,2,1.311964419,0,0
14/07/2023 00:00,23:40:24,450.9893188,207.8984311,276.8420153,80.0833333,12/07/2023 17:43,3,1.6290494,0,0
15/07/2023 00:00,23:40:24,400.4162292,209.3615227,252.2089193,83,12/07/2023 17:43,4,1.587637068,0,0
16/07/2023 00:00,23:40:24,275.8720093,209.7421697,247.0124583,83,12/07/2023 17:43,5,1.116834395,0,0
17/07/2023 00:00,23:40:24,404.2697144,207.2215792,338.1448517,83,12/07/2023 17:43,6,1.195551884,0,0
18/07/2023 00:00,23:40:24,462.3247375,209.6859843,311.1863035,84.6666667,12/07/2023 17:43,7,1.485684724,0,0
19/07/2023 00:00,23:40:24,485.3148499,207.3546435,329.6418622,87,12/07/2023 17:43,8,1.472248842,0,0
20/07/2023 00:00,23:40:24,376.8220825,209.3104312,284.3724476,83,12/07/2023 17:43,9,1.325100535,0,0
21/07/2023 00:00,23:40:24,363.9232788,207.1095339,276.9006666,76.6666667,12/07/2023 17:43,10,1.314273755,0,0
22/07/2023 00:00,23:40:24,379.3349304,209.7580604,251.8187364,78,12/07/2023 17:43,11,1.506380883,0,0
23/07/2023 00:00,23:40:24,342.9015503,209.9608116,278.3452176,74,12/07/2023 17:43,12,1.231929017,0,0
24/07/2023 00:00,23:40:24,330.5065918,208.8444239,238.6849749,75.3333333,12/07/2023 17:43,13,1.384697935,0,0
25/07/2023 00:00,23:40:24,412.6366272,208.7551168,313.6984291,78.6666667,12/07/2023 17:43,14,1.315392711,0,0
26/07/2023 00:00,23:40:24,371.2657471,208.6161524,335.527635,81.25,12/07/2023 17:43,15,1.10651317,0,0
27/07/2023 00:00,23:40:24,380.7850647,208.8600794,303.149344,83,12/07/2023 17:43,16,1.256097274,0,0
28/07/2023 00:00,23:40:24,177.6421967,210.8017909,231.3402657,79,12/07/2023 17:43,17,0.767882738,0,1
29/07/2023 00:00,23:40:24,286.6047058,209.3306211,275.8918826,76.6666667,12/07/2023 17:43,18,1.038829788,0,0
30/07/2023 00:00,23:40:24,425.2986755,208.7971102,352.8155157,72,12/07/2023 17:43,19,1.205442098,0,0
31/07/2023 00:00,23:40:24,319.785553,209.6023878,193.8277913,72,12/07/2023 17:43,20,1.649843662,0,0
01/08/2023 00:00,23:40:24,348.4427185,210.1192869,368.532167,72,12/07/2023 17:43,21,0.945487938,0,1
02/08/2023 00:00,23:40:24,435.9992065,210.3870163,269.3984362,72,12/07/2023 17:43,22,1.618417733,0,0
03/08/2023 00:00,23:40:24,288.5336914,209.9344228,322.9123707,74,12/07/2023 17:43,23,0.893535577,0,1
04/08/2023 00:00,23:40:24,341.1880493,208.8418579,345.1142375,77.6666667,12/07/2023 17:43,24,0.988623511,0,1
05/08/2023 00:00,23:40:24,427.1531372,210.2058932,275.8003591,73.4166667,12/07/2023 17:43,25,1.548776581,0,0
06/08/2023 00:00,23:40:24,370.578186,209.4087143,307.8891515,74,12/07/2023 17:43,26,1.203609105,0,0
07/08/2023 00:00,23:40:24,376.1374817,208.4575806,291.2312966,76.6666667,12/07/2023 17:43,27,1.291542104,0,0
08/08/2023 00:00,23:40:24,411.8826904,209.8379695,289.5115342,81.5833333,12/07/2023 17:43,28,1.422681454,0,0
09/08/2023 00:00,23:40:24,346.5666809,208.8583463,258.6454194,80,12/07/2023 17:43,29,1.339929706,0,0
10/08/2023 00:00,23:40:24,467.7201233,208.9048271,306.8791161,78.3333333,12/07/2023 17:43,30,1.524118452,0,0
11/08/2023 00:00,23:40:24,380.1799011,193.8669108,223.2444491,81,12/07/2023 17:43,31,1.70297583,1,0
12/08/2023 00:00,23:40:24,390.234375,197.0670137,181.2557267,81,12/08/2023 18:16,1,2.152949218,0,0
13/08/2023 00:00,23:40:24,402.7076416,208.8987656,325.2060594,81,12/08/2023 18:16,2,1.238315308,0,0
14/08/2023 00:00,23:40:24,343.7036743,206.8078842,283.0326566,80.6666667,12/08/2023 18:16,3,1.214360486,0,0
15/08/2023 00:00,23:40:24,410.3873596,208.1299845,244.4141797,79.6666667,12/08/2023 18:16,4,1.679065266,0,0
16/08/2023 00:00,23:40:24,410.9508667,209.4981893,273.8937098,73.3333333,12/08/2023 18:16,5,1.500402718,0,0
17/08/2023 00:00,23:40:24,391.5965271,210.3366025,184.8727037,68.3333333,12/08/2023 18:16,6,2.118195489,0,0
18/08/2023 00:00,23:40:24,413.669342,209.4255015,299.3891525,80.5833333,12/08/2023 18:16,7,1.381711189,0,0
19/08/2023 00:00,23:40:24,379.4705811,208.8897502,237.7338736,76.6666667,12/08/2023 18:16,8,1.596199041,0,0
20/08/2023 00:00,23:40:24,240.9467316,210.2044131,161.9122045,70,12/08/2023 18:16,9,1.488131993,0,0
21/08/2023 00:00,23:40:24,429.678833,208.4264603,311.5980709,73.3333333,12/08/2023 18:16,10,1.37895216,0,0
22/08/2023 00:00,23:40:24,379.5053711,193.8941997,204.081142,76.6666667,12/08/2023 18:16,11,1.859580789,0,0
23/08/2023 00:00,23:40:24,410.3621521,208.0379066,273.4850258,72,12/08/2023 18:16,12,1.500492215,0,0
24/08/2023 00:00,23:40:24,365.7311096,211.0004222,167.6860246,71,12/08/2023 18:16,13,2.181047052,0,0
25/08/2023 00:00,23:40:24,372.7601929,209.588501,325.3001025,67.6666667,12/08/2023 18:16,14,1.145896328,0,0
26/08/2023 00:00,23:40:24,396.6330261,209.0068118,261.6478658,65.6666667,12/08/2023 18:16,15,1.515903923,0,0
27/08/2023 00:00,23:40:24,366.6565247,209.220412,243.4291677,67,12/08/2023 18:16,16,1.506214428,0,0
28/08/2023 00:00,23:40:24,357.7667542,209.0387764,298.3006511,67,12/08/2023 18:16,17,1.199349559,0,0
29/08/2023 00:00,23:40:24,426.1941223,211.3690809,264.6414284,72,12/08/2023 18:16,18,1.610458819,0,0
30/08/2023 00:00,23:40:24,418.3023682,209.6654587,278.8885114,82,12/08/2023 18:16,19,1.499891,0,0
31/08/2023 00:00,23:40:24,385.1163025,206.5600408,312.6364962,82,12/08/2023 18:16,20,1.231834118,0,0
01/09/2023 00:00,23:40:24,395.3705139,209.0741094,263.7897286,81.6666667,12/08/2023 18:16,21,1.498809358,0,0
02/09/2023 00:00,23:40:24,414.9379272,207.9204737,332.8578199,80.5833333,12/08/2023 18:16,22,1.246592095,0,0
03/09/2023 00:00,23:40:24,417.2034302,207.8959007,287.2443933,80,12/08/2023 18:16,23,1.452433676,0,0
